LINK,ID da resposta,Data de envio,Última página,Idioma inicial,Semente,Código de Acesso,Data de início,Data da última ação,GENERO,IDADE,RENDA,ESCOLARIDADE,COMP/CEL,TEM INSTA?,Com qual frequência acessa o aplicativo? [Eventualmente],Com qual frequência acessa o aplicativo? [Até 1 vez por semana],Com qual frequência acessa o aplicativo? [Mais de uma vez por semana],Com qual frequência acessa o aplicativo? [Pelo menos uma vez por dia],Com qual frequência acessa o aplicativo? [Mais de uma vez por dia],"Você segue algum perfil de espaço cultural (Ex.: Teatro, Cinema, Casa de Show, Museu, Galeria de Arte, etc...) no Instagram?","Se você segue algum perfil de espaço cultural no Instagram, por favor, se puder, insira aqui o nome do perfil que considera acompanhar com maior frequência.",CON1,CON2,CON3,CON4,CON5,CON6,CON7,INT1,INT2,INT3,INT4,INF1,INF2,INF3,INF4,INF5,INF6,INF7,INC1,INC2,INC3,INC4,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ENG7,ENG8,ENG9,ENG10,ENT1,ENT2,ENT3,ENT4,COM1,COM2,COM3,CONF1,CONF2,CONF3,CONF4,ENV1,ENV2,ENV3,ENV4,ENV5,ENV6,ENV7,ENV8,ENV9,ENV10,0
INT,924,2021-06-21 19:31:23,7,pt-BR,786293972,X26mOKRtTr1zebj,2021-06-21 19:24:07,2021-06-21 19:31:23,Masculino,19,Acima de 3 e até 5 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,themuseumofmodernart,6,5,5,4,5,5,6,4,6,2,3,5,4,5,5,5,4,7,1,1,1,1,6,4,5,5,6,2,6,1,6,3,6,5,5,4,5,6,3,6,5,7,6,6,6,6,6,6,6,6,5,7,5,1
INT,434,2021-06-20 06:53:56,7,pt-BR,403053699,XCaCQkjcGA6PL9l,2021-06-20 06:43:19,2021-06-20 06:53:56,Masculino,19,Até 1 salário mínimo,Ensino Médio,Tablet,Sim,Não,Não,Sim,Não,Não,Sim,"Tem muitos, mas não lembro de cabeça e meu celular está descarregado",6,5,7,1,4,4,5,2,4,4,4,5,3,5,4,4,4,6,5,7,5,1,5,4,4,5,6,4,5,4,5,4,5,6,6,5,1,6,4,4,1,4,4,2,5,5,5,5,5,7,4,5,5,0
INT,950,2021-06-22 09:17:43,7,pt-BR,454433866,9fXkAKTvvwEpJop,2021-06-22 09:06:20,2021-06-22 09:17:43,Masculino,27,Acima de 3 e até 5 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@escolabasileufranca,6,5,7,2,5,4,5,5,5,6,6,5,2,6,4,6,2,6,2,1,1,4,1,1,2,4,5,5,4,6,3,4,3,5,4,1,3,6,3,5,4,3,6,6,3,6,5,5,5,6,7,3,7,2
INT,466,2021-06-20 10:10:26,7,pt-BR,1268945111,lnV7vIdWdmyMzHe,2021-06-20 09:55:18,2021-06-20 10:10:26,Masculino,25,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Sim,Não,Não,Não,Não,Sim,,6,6,1,1,7,1,6,1,1,4,1,7,5,7,2,7,3,7,1,1,1,1,1,2,1,5,2,7,4,6,4,5,1,5,5,5,1,4,1,5,1,3,5,5,7,6,4,5,7,6,6,6,6,3
INT,271,2021-06-19 10:18:36,7,pt-BR,874298237,dozOu6bI1PtbzHJ,2021-06-19 10:12:35,2021-06-19 10:18:36,Masculino,45,Acima de 5 e até 10 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"SESC Glória, MASP",6,6,5,2,3,6,6,6,4,6,4,6,6,5,6,6,6,5,2,3,1,2,2,4,5,5,5,5,4,5,5,5,5,4,5,5,3,4,1,5,2,4,6,7,7,6,6,6,6,7,6,6,6,1
INT,1038,2021-06-28 19:52:26,7,pt-BR,1912102888,iICTIXFtPPwxFp0,2021-06-28 19:45:14,2021-06-28 19:52:26,Masculino,32,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Sim,Não,Sim,Sesc Glória,6,6,5,2,4,4,4,4,4,6,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,4,7,7,7,7,0
INT,951,2021-06-22 09:45:43,7,pt-BR,1735093414,AaHhkT27EamW9y6,2021-06-22 09:21:53,2021-06-22 09:45:43,Feminino,17,Até 1 salário mínimo,Ensino Superior,Computador/Notebook,Sim,Não,Sim,Não,Não,Não,Sim,Não lembro,6,6,5,2,4,5,6,3,3,4,2,5,5,6,5,6,7,6,1,1,4,1,4,2,4,6,2,4,4,1,5,3,2,3,3,3,2,5,1,6,3,7,6,6,7,7,5,5,6,5,5,5,7,3
INT,884,2021-06-21 15:16:52,7,pt-BR,548575316,Q63toPPHcdCg8dk,2021-06-21 15:05:22,2021-06-21 15:16:52,Feminino,21,Acima de 1 e até 3 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,,6,6,6,1,4,5,6,6,3,3,2,6,6,6,7,6,7,1,1,1,1,1,5,1,7,6,5,6,3,5,2,6,7,4,7,7,1,5,3,6,1,6,6,5,7,5,5,5,6,4,5,5,5,1
INT,651,2021-06-20 18:57:10,7,pt-BR,877082420,bzsLDTFyM5we1c6,2021-06-20 18:50:44,2021-06-20 18:57:10,Masculino,42,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Sim,Não,Não,Não,Sim,,6,6,6,1,4,6,7,2,2,4,2,7,6,6,6,6,6,6,1,1,4,1,1,1,4,5,5,6,5,3,7,6,6,4,7,7,3,1,1,6,4,6,5,7,1,7,5,4,7,5,6,6,5,1
INT,267,2021-06-19 10:00:03,7,pt-BR,2027482007,zGvYbCCQin6gUZK,2021-06-19 09:54:38,2021-06-19 10:00:03,Feminino,22,Acima de 1 e até 3 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,New Gallery,6,6,6,2,6,6,7,7,5,4,4,7,5,7,5,7,4,6,1,1,1,7,1,1,6,5,7,7,7,1,7,6,7,5,6,7,3,6,1,6,4,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,660,2021-06-20 19:28:26,7,pt-BR,857257869,PsvZMkNLQBzKlW4,2021-06-20 19:21:33,2021-06-20 19:28:26,Feminino,23,Acima de 1 e até 3 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Sim,Não,Não,Não,Não,Sim,@aquelefilme @bwayvideos - shows da broadway,6,6,6,4,4,4,6,4,4,4,4,7,7,4,7,4,7,7,4,2,4,4,7,4,7,7,7,7,5,4,7,7,7,6,7,7,5,7,5,7,4,7,7,5,6,5,6,5,6,5,5,6,4,0
EXT,28,2021-05-13 23:58:36,7,pt-BR,567346375,2021-05-13 23:52:48,2021-05-13 23:58:36,,Feminino,27,Acima de 1 e até 3 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,,6,6,6,4,6,5,6,4,3,3,4,6,6,6,6,5,5,5,1,2,1,4,5,5,6,5,5,5,5,4,5,6,6,6,5,4,5,5,6,7,5,7,7,7,7,7,6,6,6,7,7,7,7,1
INT,162,2021-06-18 14:34:33,7,pt-BR,814918997,dNCzfQ09XdutxOo,2021-06-18 14:25:43,2021-06-18 14:34:33,Feminino,50,Acima de 15 e até 20 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,Museu da Língua Portuguesa,6,6,6,4,6,6,6,6,4,4,4,6,6,6,4,6,4,6,3,3,3,3,4,3,6,4,4,6,4,4,4,6,4,4,6,4,3,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1
INT,393,2021-06-19 22:24:49,7,pt-BR,878980704,k0ugsOfr40TACvZ,2021-06-19 22:17:03,2021-06-19 22:24:49,Feminino,28,Acima de 1 e até 3 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Sim,Não,Sim,196sonhos,6,6,6,4,7,5,6,4,4,7,6,7,7,6,6,5,7,7,5,6,1,4,1,1,1,6,5,6,6,5,6,7,6,6,6,7,1,6,4,7,4,6,7,7,7,7,7,7,7,7,7,7,7,1
INT,752,2021-06-21 05:55:57,7,pt-BR,1462261544,gR1LYOXyIabSx8I,2021-06-21 05:52:14,2021-06-21 05:55:57,Feminino,20,Até 1 salário mínimo,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,,6,6,6,6,5,5,5,6,6,5,6,4,5,5,4,3,5,5,4,4,5,5,5,5,5,4,5,5,5,3,4,5,3,4,4,4,3,5,5,5,4,3,4,7,6,7,7,7,7,7,7,7,7,0
EXT,4,2021-05-13 18:00:51,7,pt-BR,1908037906,2021-05-13 17:45:48,2021-05-13 18:00:51,,Feminino,32,Acima de 1 e até 3 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,Galpão Cine Horto; Fundação Clóvis Salgado; Cine Belas Artes,6,6,7,4,6,5,7,1,4,7,1,7,6,6,1,7,5,7,1,1,1,1,1,2,5,5,2,4,6,2,5,4,6,2,2,4,2,6,1,7,6,7,7,7,6,7,4,5,5,5,6,6,7,3
EXT,200,2021-06-05 09:43:15,7,pt-BR,1884844766,2021-06-05 09:37:39,2021-06-05 09:43:15,,Feminino,36,Acima de 10 e até 15 salários mínimos,Pós-Graduação,Tablet,Sim,Não,Não,Não,Não,Sim,Sim,@teatroufes,6,6,7,4,6,6,5,7,6,5,7,7,5,6,4,7,5,5,3,2,2,2,4,3,5,5,4,5,5,4,5,6,4,4,4,3,5,6,6,6,5,5,5,5,5,6,5,4,6,4,5,4,6,0
INT,561,2021-06-20 14:42:51,7,pt-BR,893123877,b9exUjGLuQfuGhl,2021-06-20 14:30:19,2021-06-20 14:42:51,Feminino,21,Acima de 1 e até 3 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"@masp, @osgemeos e  @suplementope",6,6,7,6,5,5,6,4,4,1,3,7,6,7,7,7,7,7,5,6,6,6,5,5,7,6,6,6,7,7,7,7,7,7,7,6,5,6,5,6,6,7,7,7,7,7,6,6,7,7,6,7,7,1
EXT,198,2021-06-02 22:23:07,7,pt-BR,991176016,2021-06-02 22:17:27,2021-06-02 22:23:07,,Masculino,29,Acima de 3 e até 5 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"@Danterritorio , @malokaespacocultural ,",6,6,7,6,6,6,6,7,1,1,1,7,5,7,7,7,7,6,4,1,1,5,7,5,5,7,7,7,7,4,4,6,7,7,7,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,134,2021-05-19 10:57:48,7,pt-BR,841253463,zhDJfajgWijzauu,2021-05-19 10:46:11,2021-05-19 10:57:48,Feminino,32,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,Escolas de dança particular,6,6,7,7,4,6,7,2,4,4,6,4,3,5,4,2,4,6,1,1,1,6,4,1,4,7,7,7,7,3,5,6,7,7,5,7,5,6,5,7,5,7,7,5,7,7,5,7,7,7,7,7,7,1
INT,971,2021-06-22 13:35:21,7,pt-BR,18373363,ovIkseHfrz101LE,2021-06-22 13:28:19,2021-06-22 13:35:21,Feminino,40,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"escolas de samba do espírito santo e do rio de janeiro, teatro carlos gomes, casas de forró pé de serra nordestino, escolas de dança, escolas de mestre sala e porta bandeira, perfis de festivais de músicas,.",6,7,7,4,3,3,6,7,3,2,6,5,4,5,3,7,5,5,1,4,1,1,4,3,5,7,5,4,5,2,4,4,6,6,7,7,5,5,5,4,4,4,4,7,7,7,7,7,7,7,7,7,7,1
INT,220,2021-06-18 20:31:45,7,pt-BR,1243422108,xZYlhkDdpoB3YUy,2021-06-18 20:22:32,2021-06-18 20:31:45,Feminino,32,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@cinemarkoficial,6,7,7,4,6,6,7,7,6,6,6,7,7,7,5,7,6,7,5,7,6,6,4,1,7,4,6,5,4,1,2,1,6,4,6,6,1,6,4,6,6,7,7,6,7,6,6,4,7,6,6,6,7,0
EXT,97,2021-05-18 18:43:55,7,pt-BR,1946870929,2021-05-18 18:38:29,2021-05-18 18:43:55,,Feminino,29,Acima de 10 e até 15 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,"Teatro, cinema",6,7,7,4,7,7,6,5,6,7,6,7,6,5,6,4,4,4,1,4,4,5,2,7,7,6,7,7,7,6,4,7,7,3,5,4,5,5,7,5,4,5,6,7,7,6,7,7,6,6,7,6,6,0
INT,539,2021-06-20 13:14:45,7,pt-BR,425488482,W2GnxwXsrn5ZOQn,2021-06-20 13:06:57,2021-06-20 13:14:45,Feminino,20,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Bateko; Afropunk,6,7,7,4,7,7,7,5,4,6,6,7,5,7,7,7,5,7,2,1,1,1,3,7,7,6,6,7,7,3,5,2,6,7,7,3,2,6,3,7,5,7,7,7,7,7,6,7,7,7,7,7,7,1
INT,40,2021-04-13 19:37:15,7,pt-BR,401993298,1CyoSaVk56AG2P9,2021-04-13 19:29:22,2021-04-13 19:37:15,Masculino,43,Acima de 15 e até 20 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,GESAN E NUPESAN.UFES,6,7,7,5,4,7,7,4,4,1,1,7,6,6,5,2,6,7,4,1,1,4,4,2,4,7,5,5,5,1,4,6,6,5,5,4,5,7,4,7,4,7,7,7,6,7,5,6,6,4,7,6,7,1
INT,541,2021-06-20 13:33:43,7,pt-BR,1114933319,030ufIylduq5RzU,2021-06-20 13:11:30,2021-06-20 13:33:43,Feminino,20,Acima de 1 e até 3 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Fundação de Culturas e artes Muriaé,6,7,7,7,7,7,7,1,5,4,1,7,6,7,7,7,7,7,4,7,3,5,4,5,7,7,5,7,6,4,5,7,7,6,7,7,4,7,6,7,7,7,7,7,7,6,6,5,6,6,7,7,7,1
INT,317,2021-06-19 15:52:39,7,pt-BR,477115526,RAyDKd01cJrumlF,2021-06-19 15:40:51,2021-06-19 15:52:39,Feminino,31,Acima de 1 e até 3 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Sim,Não,Não,Não,Não,Sim,Belas Artes Projetos Culturais,7,1,7,7,7,7,7,1,7,1,7,7,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,464,2021-06-20 09:58:02,7,pt-BR,947173586,lCOC26ItXq3w0ST,2021-06-20 09:47:54,2021-06-20 09:58:02,Masculino,28,Até 1 salário mínimo,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@teatrovocacionalceujmurilo,7,6,6,1,4,6,6,5,2,6,1,7,4,5,4,3,4,4,1,1,1,4,2,1,5,6,5,6,4,1,5,4,5,4,4,4,4,6,1,7,6,7,7,6,6,5,6,5,5,5,6,6,6,1
EXT,87,2021-05-18 06:55:36,7,pt-BR,1587144402,2021-05-18 06:51:26,2021-05-18 06:55:36,,Feminino,34,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Sim,Não,Sim,Masp,7,6,7,1,7,6,7,4,4,4,1,7,7,7,1,1,7,4,1,1,1,1,1,4,7,7,7,7,4,4,4,4,7,7,1,7,4,7,2,7,4,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,1032,2021-06-27 12:56:49,7,pt-BR,867678502,camMHZOr7KEV4Xf,2021-06-27 12:43:38,2021-06-27 12:56:49,Feminino,35,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"museus, viagens voltadas para o público infantil",7,6,7,5,6,7,7,5,4,5,4,6,3,7,4,2,5,5,2,1,1,2,3,2,5,4,7,6,3,2,5,4,4,5,6,4,4,4,5,4,3,4,4,4,6,6,5,4,6,4,5,4,3,0
INT,582,2021-06-20 15:38:58,7,pt-BR,2030574966,auNUzQ749t1EGO0,2021-06-20 15:33:44,2021-06-20 15:38:58,Masculino,31,Até 1 salário mínimo,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Masp,7,7,1,1,7,1,7,1,1,1,1,7,7,7,7,7,7,7,1,1,1,1,7,1,7,7,7,7,7,1,7,1,7,7,7,7,1,7,1,4,1,4,7,7,7,7,7,7,7,7,7,7,7,1
INT,297,2021-06-19 12:44:22,7,pt-BR,1002634745,U2uIj5Y0Vqzeiax,2021-06-19 12:30:23,2021-06-19 12:44:22,Feminino,39,Acima de 1 e até 3 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,masp ( MASP- Museu de Arte de  São Paulo Assis),7,7,6,2,6,7,7,2,6,6,2,7,6,7,7,6,6,6,1,2,2,2,7,6,7,7,7,6,6,3,6,6,7,7,7,7,6,6,7,7,6,7,7,1,1,1,1,1,7,1,1,1,1,0
EXT,165,2021-05-21 18:45:35,7,pt-BR,1270233951,2021-05-21 18:38:54,2021-05-21 18:45:35,,Feminino,23,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,MASP,7,7,6,7,7,6,6,4,6,6,5,7,5,5,4,6,2,2,6,6,3,6,5,6,5,7,6,5,7,3,7,7,7,7,7,6,4,6,2,7,1,5,7,7,7,7,5,6,6,7,6,7,7,0
EXT,15,2021-05-13 20:44:28,7,pt-BR,427280048,2021-05-13 20:33:38,2021-05-13 20:44:28,,Feminino,57,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Adoro cinema,7,7,7,1,1,1,7,7,7,7,1,7,7,5,6,7,5,7,1,7,1,4,5,3,7,4,6,7,7,1,5,6,7,7,7,7,4,5,3,7,5,7,7,6,7,7,7,6,6,7,7,3,7,1
INT,251,2021-06-19 06:23:07,7,pt-BR,588204046,lfHS9YQibzc1fZQ,2021-06-19 06:06:16,2021-06-19 06:23:07,Feminino,29,Acima de 1 e até 3 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Sim,Não,Sim,@soupomerano,7,7,7,1,1,3,7,2,1,1,1,7,3,7,3,4,1,4,1,1,1,1,1,1,4,4,4,4,7,1,7,1,4,1,7,3,1,3,1,7,1,7,7,5,6,5,4,5,5,6,5,6,5,3
EXT,21,2021-05-13 21:30:23,7,pt-BR,1417875858,2021-05-13 21:17:30,2021-05-13 21:30:23,,Feminino,55,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@vivoriorj,7,7,7,1,1,4,7,1,4,4,4,7,7,1,1,7,7,7,1,7,4,1,1,1,1,4,1,4,4,7,7,1,4,4,1,1,1,4,1,7,4,7,7,7,4,4,1,1,4,4,7,4,7,4
INT,424,2021-06-20 03:05:23,7,pt-BR,1186304442,2E2PHInBkMN8Yw6,2021-06-20 02:55:25,2021-06-20 03:05:23,Feminino,32,Acima de 1 e até 3 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Sim,Não,Sim,museu do louvre,7,7,7,1,1,7,7,7,7,7,4,7,7,7,6,5,7,7,1,1,1,1,6,6,7,7,7,7,7,7,7,7,7,7,5,7,6,7,5,7,1,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,132,2021-05-18 00:47:40,7,pt-BR,1495712395,8ca5BcLrKGHgobN,2021-05-18 00:37:34,2021-05-18 00:47:40,,30,Até 1 salário mínimo,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,"LEM, MAES, GAP, Networking  miradas enredadas, Museu do Isolamento, Masp, MARGS, Gaeu, IA, Galeria Aymoré, Casa Porto, Palácio Anchieta, Museu Vale,",7,7,7,1,5,5,7,3,1,1,1,7,7,7,6,7,4,6,1,1,1,1,3,4,4,4,4,4,3,4,3,5,4,6,4,4,4,4,3,5,3,6,4,7,7,7,6,7,7,7,5,7,7,1
INT,330,2021-06-19 16:58:47,7,pt-BR,487316863,cS8yKzKKr49Nh3B,2021-06-19 16:51:00,2021-06-19 16:58:47,Feminino,20,Acima de 10 e até 15 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Ballet Opera de Paris,7,7,7,4,4,7,7,1,1,2,4,7,4,6,3,7,3,6,1,3,1,4,2,1,6,7,4,7,4,1,5,5,7,4,7,5,2,5,1,7,5,7,7,6,7,5,7,7,7,7,7,6,5,1
EXT,61,2021-05-14 15:21:59,7,pt-BR,793471767,2021-05-14 15:07:50,2021-05-14 15:21:59,,Feminino,37,Acima de 15 e até 20 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@museudoipiranga,7,7,7,4,4,7,7,7,5,4,1,7,6,6,2,6,5,4,1,1,1,1,3,4,7,5,5,6,6,2,5,5,5,7,4,7,4,7,4,7,4,7,4,7,7,7,7,7,5,6,5,5,6,1
INT,227,2021-06-18 21:04:47,7,pt-BR,195794098,VuGww5eYhGRAdDa,2021-06-18 20:56:44,2021-06-18 21:04:47,Feminino,30,Acima de 3 e até 5 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,"Bienal das artes, MAES, mucane, Sesc glória, MASP, MAC, Oa galeria, Gaeu UFES.",7,7,7,4,7,6,7,7,7,2,5,7,7,7,1,7,7,7,1,4,1,1,4,4,4,6,3,4,7,7,7,7,6,7,4,7,4,4,6,7,7,7,7,7,7,7,7,7,5,7,7,7,7,1
INT,972,2021-06-22 14:06:12,7,pt-BR,739483440,sOpGhgluK4vaxHa,2021-06-22 13:55:39,2021-06-22 14:06:12,Feminino,27,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@trilhandopoa,7,7,7,5,6,7,7,7,6,7,6,7,7,7,6,7,7,7,1,1,1,1,6,6,7,6,6,7,7,4,6,5,6,7,7,6,5,6,3,7,6,7,7,6,7,6,5,5,5,7,5,6,5,1
INT,593,2021-06-20 16:07:20,7,pt-BR,902736564,QALfrns9GVaDhCw,2021-06-20 15:58:25,2021-06-20 16:07:20,Feminino,20,Até 1 salário mínimo,Ensino Superior,Celular,Sim,Não,Não,Não,Sim,Não,Sim,revolushow,7,7,7,5,7,7,7,3,2,1,2,7,7,7,7,7,7,7,1,7,4,2,3,7,7,7,7,7,7,4,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,1,7,7,3,7,1
EXT,65,2021-05-14 17:40:37,7,pt-BR,304678131,2021-05-14 17:37:14,2021-05-14 17:40:37,,Masculino,32,Acima de 1 e até 3 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@ma.companhia,7,7,7,5,7,7,7,7,7,5,7,7,7,7,7,7,7,7,2,7,4,7,7,7,7,7,7,6,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
INT,828,2021-06-21 10:50:47,7,pt-BR,1290227564,9FahazyOAVW1rkv,2021-06-21 10:40:45,2021-06-21 10:50:47,Feminino,21,Acima de 10 e até 15 salários mínimos,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,,7,7,7,6,7,7,7,6,6,5,6,7,7,7,3,5,7,7,3,3,4,5,5,6,6,7,6,6,5,5,5,6,5,6,5,4,6,6,5,6,5,7,7,7,7,6,6,7,7,6,7,7,6,1
INT,386,2021-06-19 21:36:56,7,pt-BR,2033118087,Twk3CEtO14VMtVK,2021-06-19 21:32:47,2021-06-19 21:36:56,Feminino,18,Acima de 1 e até 3 salários mínimos,Ensino Médio,Celular,Sim,Não,Não,Sim,Não,Não,Sim,@solineuras,7,7,7,7,4,7,7,5,4,7,7,7,7,7,7,7,7,7,1,6,2,3,7,7,6,7,7,7,7,4,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,1
INT,997,2021-06-23 09:07:52,7,pt-BR,660713839,GUgF7qqiLv31kug,2021-06-23 09:02:09,2021-06-23 09:07:52,Masculino,25,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,,7,7,7,7,6,7,7,7,7,7,7,7,6,7,6,7,5,7,2,3,2,7,3,3,7,6,4,6,7,4,2,6,7,4,6,7,5,6,7,7,3,7,7,7,7,6,5,4,7,7,7,7,7,1
INT,109,2021-04-29 20:38:57,7,pt-BR,1766143495,anHNji7r3W16hJm,2021-04-29 20:31:17,2021-04-29 20:38:57,Feminino,38,Acima de 10 e até 15 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,"MASP, Pinacoteca de SP, Museu da Língua Portuguesa (SP), Teatro Gazeta, Teatro Santo Agostinho, Teatro das Artes",7,7,7,7,7,7,7,1,7,1,1,7,4,5,7,7,7,7,1,5,1,1,1,1,2,7,7,5,4,4,7,4,7,5,5,7,1,1,5,7,5,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,1057,2021-07-16 11:06:32,7,pt-BR,238954392,zMSaw2cB3gdSKui,2021-07-16 10:52:16,2021-07-16 11:06:32,Masculino,53,Até 1 salário mínimo,Ensino Superior,Computador/Notebook,Sim,Sim,Não,Não,Não,Não,Sim,art1,7,7,7,7,7,7,7,5,7,5,7,7,7,7,7,7,7,7,1,5,2,5,7,4,7,5,5,7,5,2,7,7,5,5,5,7,5,7,5,7,7,7,7,1,1,1,1,1,1,1,1,1,1,0
INT,207,2021-06-18 19:01:05,7,pt-BR,758418185,vE6RNyaOahe2BvL,2021-06-18 18:55:07,2021-06-18 19:01:05,Masculino,36,Acima de 10 e até 15 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,@muses.ufes,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,6,6,7,1,1,1,4,7,6,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1
INT,452,2021-06-20 08:46:44,7,pt-BR,1341565296,X5ZBxUMveI1er9j,2021-06-20 08:40:17,2021-06-20 08:46:44,Masculino,39,Acima de 3 e até 5 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Sim,Não,Sim,,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,7,6,7,5,0
EXT,138,2021-05-20 21:27:00,7,pt-BR,1101037612,2021-05-20 21:24:05,2021-05-20 21:27:00,,Masculino,23,Até 1 salário mínimo,Ensino Superior,Celular,Sim,Não,Não,Não,Sim,Não,Sim,Soca brasil,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
